Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-557755,Ba3Cr2MoO9,P63/mmc,-2.724,0,0,414.554,30,6.056,hexagonal
mp-1084823,Sr2CrSbO6,C2/m,-2.685,0,1.858,127.787,10,5.783,monoclinic
mp-1205686,Ba2PrTaO6,C2/m,-3.485,0,3.494,164.228,10,7.002,monoclinic
mp-1113058,Cs2KErCl6,Fm3m,-2.512,0,5.251,361.032,10,3.15,cubic
mp-1205690,Sr2NbCrO6,Fm3m,-3.115,0,2.306,515.096,40,5.366,cubic
mp-553281,Ba2LaNbO6,C2/m,-3.397,0,3.049,166.576,10,6.006,monoclinic
mp-1205944,Sr2TaVO6,I4/m,-3.281,0,0,257.714,20,6.484,tetragonal
mp-1206029,Ba2TmTaO6,Fm3m,-3.624,0,3.407,151.821,10,7.881,cubic
mp-1206059,Rb2NaCrCl6,Fm3m,-1.979,0,1.403,272.943,10,2.79,cubic
mp-1207130,Ba2SmUO6,Fm3m,-3.605,0,0.862,177.062,10,7.119,cubic
mp-1214461,Ba4Li(BiO4)3,Im3m,-2.206,0,0.169,322.22,20,7.087,cubic
mp-1214664,Ba6Na2Ta2V2O17,P63/mmc,-3.086,0,3.086,949.535,58,5.616,hexagonal
mp-1069270,ZnNi3N,Pm3m,-0.226,0,0,53.179,5,7.978,cubic
mp-1205758,Ba2EuMoO6,Fm3m,-2.91,0,0.055,161.764,10,6.35,cubic
mp-1206176,Rb2NaCuF6,Fm3m,-2.595,0,0.783,154.876,10,3.983,cubic
mp-1205595,Ba2TmMoO6,Fm3m,-3.111,0,0,150.726,10,7.002,cubic
mp-1207285,Ba2GdReO6,Fm3m,-3.011,0,0,154.488,10,7.676,cubic
mp-1213104,CsSrBr3,Pnma,-2.03,0,4.558,844.87,20,3.618,orthorhombic
mp-1111106,K2NaGaF6,Fm3m,-3.105,0,5.952,148.417,10,3.188,cubic
mp-1214103,Ca2TaCrO6,P21/c,-3.246,0,2.818,477.109,40,5.695,monoclinic
mp-1205557,Ba2UTiO6,Fm3m,-3.518,0,0,151.362,10,7.203,cubic
mp-1206994,La3SnN,Pm3m,-1.083,0,0,133.829,5,6.817,cubic
mp-1205676,NaSr2OsO6,Fm3m,-2.347,0,0,137.125,10,5.867,cubic
mp-1206822,Pr3SnN,Pm3m,-0.997,0,0,129.614,5,7.116,cubic
mp-1205700,Ba2LaUO6,Fm3m,-3.577,0,0.861,183.864,10,6.752,cubic
mp-1212108,HoRhO3,Pnma,-2.605,0,0.965,233.798,20,8.973,orthorhombic
mp-1205628,Ba2ErMoO6,Fm3m,-3.099,0,0,151.47,10,6.949,cubic
mp-1205823,Ba2ScTaO6,Fm3m,-3.603,0,3.017,143.716,10,6.893,cubic
mp-1114421,Rb2LiLuCl6,Fm3m,-2.455,0,5.268,279.505,10,3.36,cubic
mp-1206911,ErRu3C,Pm3m,-0.246,0,0,71.497,5,11.206,cubic
mp-1208881,Sr2CaSbO6,P21/c,-2.751,0,0,295.681,20,4.864,monoclinic
mp-1194656,MnPb2WO6,Pnma,-1.928,0,1.72,572.814,40,8.687,orthorhombic
mp-1209786,Nd2MgPtO6,P21/c,-2.872,0,2.068,250.781,20,7.997,monoclinic
mp-14552,Ba2SrUO6,P21/c,-3.519,0,2.313,358.638,20,6.448,monoclinic
mp-1206266,K2NaCrCl6,Fm3m,-1.954,0,1.417,263.31,10,2.308,cubic
mp-19339,LaNiO3,R3c,-2.406,0,0,117.617,10,6.935,trigonal
mp-1113049,Cs2KGdCl6,Fm3m,-2.502,0,3.144,370.782,10,3.022,cubic
mp-1205683,Cs2KCrCl6,Fm3m,-2.031,0,1.597,318.265,10,2.972,cubic
mp-1205759,Ba2YbUO6,Fm3m,-3.604,0,2.171,167.564,10,7.747,cubic
mp-1206127,CeRu3C,Pm3m,-0.242,0,0,73.344,5,10.309,cubic
mp-1207078,CaNiH3,Pm3m,-0.548,0,0,44.275,5,3.818,cubic
mp-1079893,BaTiSe3,P63/mmc,-1.487,0,0,266.545,10,5.259,hexagonal
mp-1205512,KBa2IO6,Fm3m,-2.147,0,2.779,167.234,10,5.329,cubic
mp-1205691,Ba2ZnOsO6,Fm3m,-2.304,0,0,137.471,10,7.565,cubic
